fund_name,scheme_name,category,rating,aum,expense_ratio,inception_date,Benchmark Index,nav,high_52_week,low_52_week,return_1_month,Return (%)3 mo,Return (%)6 mo,return_1_year,Return (%)2 yrs,return_3_year,return_5_year,Return (%)10 yrs,Turnover Ratio (%),number_of_stocks,average_market_cap,large_cap,mid_cap,small_cap,Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,standard_deviation,classification,category_average_return,category_average_return_3years,exit_load_remarks
Canara Robeco,Canara Rob Consumer Trends Fund-Reg(G),EQ-CONS,4.0,937.5,2.38,14-Sep-09,S&P BSE 100 - TRI,71.6,73.31,58.07,-0.21,10.17,9.51,2.24,28.49,19.41,15.32,16.85,55,36.0,125286.0,67.52,20.71,7.19,Financials,0.01,-,-,6.17,0.07,0.1,0.9,18.15,Equity : Thematic - Consumption,7.84,17.57,1% on or before 1Y Nil after 1Y
Canara Robeco,Canara Rob Emerg Equities Fund-Reg(G),EQ-L&M,4.0,14868.7,1.82,11-Mar-05,NIFTY LargeMidcap 250 - TRI,162.84,172.08,139.48,-1.09,7.62,2.96,-5.71,26.54,20.79,12.48,20.22,25,54.0,130991.0,55.91,35.98,3.22,Financials,0.01,-,-,-1.71,-0.38,-0.58,0.9,17.67,Equity : Large & Mid Cap,-1.58,18.24,1% on or before 1Y Nil after 1Y
Canara Robeco,Canara Rob Equity Hybrid Fund-Reg(G),HY-EQ,4.0,8178.6,1.84,1-Feb-93,CRISIL Hybrid 35+65 - Aggressive Index,246.15,256.28,218.87,-0.65,6.13,2.1,-3.31,17.44,14.78,11.39,13.6,93,50.0,196802.0,53.65,16.61,0.95,Financials,2.25,1.86,6.89,-4.41,-0.37,-0.58,0.88,13.06,Hybrid : Equity Oriented,1.35,8.53,Nil upto 10% of units on or before 1Y 1% for more than 10% of units on or before 1Y Nil after 1Y
Canara Robeco,Canara Rob Equity Tax Saver Fund-Reg(G),EQ-ELSS,4.0,4176.1,1.97,2-Feb-09,S&P BSE 500 - TRI,116.49,122.66,99.21,-1.03,7.99,4.12,-4.35,24.79,20.54,15.42,15.14,37,55.0,179682.0,71.42,23.84,1.86,Financials,0.01,-,-,-,-0.29,-0.45,0.93,17.59,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Canara Robeco,Canara Rob Flexi Cap Fund-Reg(G),EQ-FLEX,4.0,8243.0,1.85,16-Sep-03,S&P BSE 500 - TRI,221.87,239.72,193.2,-1.2,7.06,1.45,-7.15,21.79,17.44,13.2,13.76,36,55.0,199474.0,70.97,22.86,1.88,Financials,0.01,-,-,-3.15,-0.47,-0.73,0.93,17.49,Equity : Flexi Cap,-2.7,16.46,1% on or before 1Y Nil after 1Y
Canara Robeco,Canara Rob Infrastructure Fund-Reg(G),EQ-INFRA,3.0,242.1,2.54,2-Dec-05,S&P BSE India Infrastructure Index - TRI,81.99,88.11,67.29,-4.8,9.96,7.7,8.72,42.92,22.99,10.61,13.6,25,31.0,64424.0,56.13,22.26,17.56,Capital Goods,0.01,-,-,12.55,0.46,0.72,0.79,17.79,Equity : Sectoral - Infrastructure,5.4,20.87,1% on or before 1Y Nil after 1Y
DSP Mutual Fund,DSP Dynamic Asset Allocation Fund-Reg(G),HY-DYN,3.0,4483.7,1.89,6-Feb-14,CRISIL Hybrid 50+50 - Moderate Index,19.88,20.42,18.46,-1.35,3.22,1.75,-1.33,8.45,7.65,6.83,-,704,108.0,131322.0,45.18,17.79,3.02,Financials,1.9,1.63,6.98,-3.5,-0.53,-0.83,0.61,7.27,Hybrid : Dynamic Asset Allocation,1.18,10.47,Nil for 10% of investment and 1% for remaining Investment on or before 12M Nil after 12M
DSP Mutual Fund,DSP Equity & Bond Fund-Reg(G),HY-EQ,4.0,7509.2,1.85,27-May-99,CRISIL Hybrid 35+65 - Aggressive Index,229.07,244.41,202.66,-1.21,5.77,0.86,-7.14,17.9,12.67,9.81,12.76,105,53.0,109532.0,45.98,21.63,7.22,Financials,1.75,1.53,7.09,-8.52,-0.67,-1.01,0.96,13.61,Hybrid : Equity Oriented,1.35,8.53,NIL upto 10% of investment within 12M 1% exceding 10% of investment within 12M NIL after 12M
DSP Mutual Fund,DSP Equity Opportunities Fund-Reg(G),EQ-L&M,3.0,7011.1,1.88,16-May-00,NIFTY LargeMidcap 250 - TRI,355.88,375.81,303.35,-1.06,7.2,3.09,-5.97,25.86,16.14,10.69,15.5,45,63.0,84451.0,52.01,35.43,8.45,Financials,-,-,-,-2.04,-0.4,-0.61,0.86,16.89,Equity : Large & Mid Cap,-1.58,18.24,1% before 12M Nil on or after 12M
DSP Mutual Fund,DSP Equity Savings Fund-Reg(G),HY-EQ,2.0,519.0,1.45,28-Mar-16,NIFTY 50 Equity Savings Index - TRI,16.47,16.59,15.59,0.17,2.33,1.88,1.03,11.65,8.44,6.25,-,414,79.0,104202.0,45.82,12.91,7.24,Financials,1.64,1.41,6.8,-1.36,-0.3,-0.49,0.26,5.04,Hybrid : Equity Oriented,1.35,8.53,Nil
DSP Mutual Fund,DSP Flexi Cap Fund-Reg(G),EQ-FLEX,4.0,7822.0,1.85,7-Jun-07,NIFTY 500 - TRI,63.57,69.88,54.31,-1.78,7.21,1.05,-10.31,23.4,15.03,11.59,14.24,28,54.0,110842.0,61.12,29.46,8.85,Financials,-,-,-,-6.65,-0.65,-1,0.91,18.0,Equity : Flexi Cap,-2.7,16.46,1% on or before 12M Nil after 12M
DSP Mutual Fund,DSP Focus Fund-Reg(G),EQ-MLC,2.0,1920.4,2.13,10-Jun-10,NIFTY 500 - TRI,33.68,35.88,28.33,-0.3,8.4,3.23,-4.54,18.67,11.55,8.33,12.7,36,27.0,86930.0,57.1,35.02,4.34,Financials,-,-,-,-0.71,-0.32,-0.5,0.81,16.51,Equity : Multi Cap,0.07,20.3,1% before 12M Nil on or after 12M
