Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Invesco Mutual Fund,Invesco India Liquid Fund(G),DT-LIQ,2,5230.5,0.22,17-Nov-06,Nifty Liquid Fund Index,2979.99,2979.99,2860.45,0.45,1.32,2.39,4.18,3.68,3.95,5.19,6.73,0,-,-,-,-,-,-,0.11,0.1,6.22,0.08,0.83,0.74,0.01,0.07,Debt : Liquid,4.1,3.86,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Invesco Mutual Fund,Invesco India Medium Duration Fund-Reg(G),DT-MD,Unrated,294.4,1.35,16-Jul-21,NIFTY Medium Duration Debt Index,1019.67,1026.17,1000.16,-0.13,0.76,0.55,0.75,-,-,-,-,0,-,-,-,-,-,-,3.53,2.89,7.55,-1.84,-1.02,-1.34,0.48,2.02,Debt : Medium Duration,1.38,5.02,NIL
Invesco Mutual Fund,Invesco India Midcap Fund(G),EQ-MID,3,2542.1,2,19-Apr-07,S&P BSE 150 MidCap - TRI,87.84,92.65,73.59,-0.83,8.34,2.29,-4.93,28.51,22.56,13.82,18.31,54,58,26810,14.08,66.67,14.33,Automobile and Ancillaries,-,-,-,-0.03,-0.26,-0.4,0.87,18.64,Equity : Mid Cap,0.53,23.53,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Money Market Fund(G),DT-MM,2,1840.2,0.55,28-Aug-09,Nifty Money Market Index,2517.08,2517.08,2438.56,0.34,1.08,1.6,3.19,3.38,4.33,5.52,7.02,0,-,-,-,-,-,-,0.42,0.4,6.85,0.55,0.97,1.21,0.08,0.52,Debt : Money Market,3.75,4.5,Nil
Invesco Mutual Fund,Invesco India Multicap Fund(G),EQ-MLC,4,2231.4,2.03,17-Mar-08,Nifty500 Multicap 50:25:25 - TRI,78.2,84.48,65.92,-0.92,8.42,2.88,-5.69,27.37,18.59,10.44,16.92,40,64,48056,40.2,32.47,22.5,Financials,-,-,-,-1.76,-0.37,-0.55,0.85,17.79,Equity : Multi Cap,0.07,20.3,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Nifty 50 ETF,EQ-ETF,Unrated,61.5,0.1,16-Jun-11,NIFTY 50 - TRI,1930.01,1995.57,1679.46,-0.26,7.7,2.73,-4.15,22.85,15.59,12.59,12.89,1,51,397411,99.97,-,-,Financials,-,-,-,0.83,-0.26,-0.41,0.99,18.16,Equity : ETFs,-3.32,12.35,Nil
Invesco Mutual Fund,Invesco India Overnight Fund-Reg(G),DT-ON,1,444,0.15,8-Jan-20,Nifty 1D Rate Index,1100.51,1100.51,1057.42,0.47,1.32,2.38,4.08,3.55,-,-,-,0,-,-,-,-,-,-,0.01,0.01,6,-,-0.11,-0.05,-,0.04,Debt : Overnight,4.1,3.6,Nil
Invesco Mutual Fund,Invesco India PSU Equity Fund(G),EQ-THEM,1,369.6,2.44,18-Nov-09,S&P BSE PSU - TRI,29.32,30.11,23.17,-1.25,16.15,3.93,0.62,32.11,17.19,8.36,11.25,51,19,69334,69.37,12.19,16.03,Financials,-,-,-,6.96,0.1,0.15,0.87,21.12,Equity : Thematic,7.27,15.07,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
Invesco Mutual Fund,Invesco India Short Term Fund(G),DT-SD,3,488.2,1.2,24-Mar-07,Nifty Short Duration Debt Index,2938.51,2940.91,2888.63,0.11,0.73,0.78,1.71,2.51,4.79,5.57,6.67,0,-,-,-,-,-,-,1.54,1.36,7.1,-0.93,-1,-1.31,0.22,1.03,Debt : Short Duration,2.89,5.39,Nil
Invesco Mutual Fund,Invesco India Smallcap Fund-Reg(G),EQ-SML,2,1364.1,2.21,30-Oct-18,S&P BSE 250 Small Cap - TRI,21.59,22.73,17.57,0.28,10.39,3.55,-2.66,39.28,28.05,-,-,47,57,9734,3.69,19.87,72.79,Financials,-,-,-,1.16,-0.17,-0.24,0.77,18.9,Equity : Small Cap,2.94,30.51,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
